Picture: 1-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
9				-0.25				-0.63				0.38
Picture: 26-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-6.28				-35.66				29.38
2				3.97				-7.15				11.12
3				6.93				32.18				-25.25
4				-3.04				4.4				-7.44
5				-2.39				0.93				-3.32
6				2.35				3.84				-1.49
7				-1.59				-1.43				-0.16
8				-1.32				1.5				-2.82
9				1.28				1.3				-0.02
Picture: 27-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				6.34				-19.04				25.38
2				-2.42				-1.77				-0.65
3				-1.24				12.85				-14.09
4				-0.63				2.67				-3.3
5				-0.38				3.99				-4.37
6				-0.45				0.25				-0.7
7				-0.43				1.52				-1.95
8				-0.45				-0.11				-0.35
9				-0.43				-0.45				0.02
Picture: 28-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-20.14				-34.55				14.41
2				6.07				-8.44				14.51
3				6.89				30.74				-23.84
4				5.01				3.67				1.34
5				0.24				2.07				-1.83
6				1.89				2.72				-0.84
7				-0.07				-0.45				0.38
8				-0.84				3.12				-3.96
9				0.85				1.04				-0.19
Picture: 29-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-21.04				-23.8				2.76
2				13.31				7.18				6.13
3				6.22				6.05				0.18
4				1.87				3.25				-1.39
5				0.46				1.96				-1.5
6				-0.03				2.21				-2.24
7				-0.12				-0.34				0.22
8				-0.46				2.93				-3.38
9				-0.3				0.48				-0.77
Picture: 3-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-26.82				-22.23				-4.59
2				19.81				10.18				9.63
3				4.93				4.36				0.57
4				1.33				2.55				-1.22
5				2.16				3.03				-0.87
6				-0.68				0.53				-1.21
7				0.21				-0.95				1.16
8				-0.83				2.83				-3.66
9				-0.2				-0.38				0.18
Picture: 30-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-27.08				-29.9				2.82
2				4.51				-3.38				7.89
3				6.91				22.51				-15.6
4				10.0				0.14				9.85
5				2.57				2.28				0.3
6				1.61				3.11				-1.5
7				1.56				0.57				0.99
8				-0.57				3.83				-4.41
9				0.41				0.74				-0.33
Picture: 31-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-22.61				-21.36				-1.25
2				7.66				-0.85				8.51
3				8.88				7.36				1.52
4				1.14				8.52				-7.38
5				2.83				1.38				1.45
6				-0.14				1.91				-2.05
7				1.16				-0.11				1.28
8				0.6				3.25				-2.65
9				0.39				-0.18				0.57
Picture: 32-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-23.32				-32.18				8.86
2				5.58				-5.72				11.31
3				6.26				25.6				-19.34
4				7.54				1.45				6.08
5				1.46				2.03				-0.57
6				1.06				3.56				-2.5
7				0.98				0.15				0.83
8				-0.29				4.18				-4.48
9				0.64				0.83				-0.19
Picture: 33-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-14.84				-31.1				16.26
2				7.11				-7.19				14.29
3				8.15				28.33				-20.18
4				1.78				3.78				-2.0
5				-1.21				1.59				-2.8
6				1.11				2.09				-0.98
7				-1.21				-0.85				-0.36
8				-1.27				2.81				-4.08
9				0.31				0.46				-0.15
Picture: 34-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-12.15				-7.16				-4.99
2				6.72				0.25				6.47
3				3.77				2.47				1.3
4				1.8				0.97				0.83
5				0.47				2.02				-1.55
6				0.02				0.7				-0.68
7				-0.08				-1.51				1.43
8				-0.31				3.08				-3.4
9				-0.33				-0.92				0.58
Picture: 35-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-22.43				-37.74				15.31
2				11.7				-8.64				20.34
3				5.77				32.23				-26.46
4				5.11				2.51				2.6
5				-0.15				2.31				-2.45
6				0.81				3.43				-2.62
7				-0.53				-0.19				-0.34
8				-0.88				5.06				-5.94
9				0.5				0.94				-0.45
Picture: 36-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-26.45				-35.64				9.2
2				1.93				-4.69				6.62
3				7.49				29.52				-22.03
4				8.23				2.09				6.14
